quiz_title,quiz_description,question_text,question_type,answer_1,answer_2,answer_3,answer_4,correct_answer,question_hint,points,category
Basic Quiz,Test quiz with basic questions,What is 2+2?,single,3,4,5,6,2,Think carefully,10,Math
Basic Quiz,Test quiz with basic questions,Which countries are in Europe?,multiple,Germany,Japan,France,Canada,1;3,European countries,10,Geography
